a,b,theta,A1,A2
5.9,8.0,61.5,2.0,-2.0
5.9,8.0,61.5,2.0,-3.0
5.9,8.0,61.5,2.0,-4.0
5.9,8.0,61.5,2.0,-5.0
5.9,8.0,61.5,2.0,-6.0
5.9,8.0,61.5,3.0,-2.0
5.9,8.0,61.5,3.0,-3.0
5.9,8.0,61.5,3.0,-4.0
5.9,8.0,61.5,3.0,-5.0
5.9,8.0,61.5,3.0,-6.0
5.9,8.0,61.5,4.0,-2.0
5.9,8.0,61.5,4.0,-3.0
5.9,8.0,61.5,4.0,-4.0
5.9,8.0,61.5,4.0,-5.0
5.9,8.0,61.5,4.0,-6.0
5.9,8.0,61.5,5.0,-2.0
5.9,8.0,61.5,5.0,-3.0
5.9,8.0,61.5,5.0,-4.0
5.9,8.0,61.5,5.0,-5.0
5.9,8.0,61.5,5.0,-6.0
5.9,8.0,61.5,6.0,-2.0
5.9,8.0,61.5,6.0,-3.0
5.9,8.0,61.5,6.0,-4.0
5.9,8.0,61.5,6.0,-5.0
5.9,8.0,61.5,6.0,-6.0
